,Deaths,Years of Potential Life Lost Rate,% With Access to Exercise Opportunities,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Primary Care Physicians Rate,% With Annual Mammogram,High School Graduation Rate,Social Association Rate,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Child Mortality Rate,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured,% Disconnected Youth,Average Reading Performance,Black/White Segregation Index,Suicide Rate (Age-Adjusted),Juvenile Arrest Rate,% less than 18 years of age,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Female,internet_ratio,Hypertension Death Rate,class
0,791.0,8128.5911903,69.130124059,26.785714285999997,407.2,45.0418,41.0,90.0,12.071202075999999,272.28222006,11.7,14.663461538,86.523661372,39.6,76.879477172,55.922156358,219.1,10.809447457000001,11.14898915,0.0,2.9595862779,24.619137861,18.145295477999998,10.625,23.67403464,0.4802071905,1.2247981151,0.1115087858,2.9657739969,51.44871495100001,0.75,179.6,1
1,2967.0,7354.122529800001,73.713548953,30.769230769,325.0,72.89726999999998,43.0,86.361576801,10.205617322,203.66039629,10.3,13.566200931,84.282432728,41.7,78.45025836800001,47.381749856999996,166.5,13.610486645,14.348524769,8.4767945233,3.0056417476,41.271762768,19.377510546,26.19266055,21.607911128,0.7723991157,1.150342626,0.0669657191,4.646778765400001,51.538376861,0.92,143.4,1
2,472.0,10253.573403,53.166769858,40.0,716.3,31.65809,45.0,81.41025641,7.5187969925,414.27786068,11.5,14.583333332999999,83.368470368,32.2,75.34193493,74.22527370600001,420.6,0.0,16.08583414,13.339301700999998,2.660388191,25.039132349000003,12.836103622000001,15.0,20.867328484,0.6591374945,0.4541618102,0.1848800289,4.276355452,47.216751738,0.54,217.2,0
3,471.0,11977.539484,16.251363736,27.586206896999997,339.7,48.526559999999996,40.0,83.763837638,8.3818598906,89.349125982,11.2,10.496453901,84.91064686600001,49.8,73.571820279,85.8000858,196.8,28.060433311999997,13.0,0.0,2.628688251,52.60379424,20.858766218,0.0,20.477678571,0.4375,0.23660714289999998,0.1160714286,2.625,46.78125,0.698,143.3,0
4,1085.0,11335.071134,15.634485887,19.444444444000002,234.4,22.40877,34.0,93.468795356,8.4463827073,482.69061089,11.7,10.548011639,86.17836202,59.4,74.145825897,83.798882682,99.8,24.199542513,17.082341882,18.941594063,3.0254073651,48.21482288399999,17.062627954,7.4603174603,23.153526970999998,0.653526971,0.3198478562,0.12102351310000001,9.571230982000001,50.726141078999994,0.62,112.4,0
5,203.0,11679.558981,2.5013743815000002,60.0,863.3,29.100790000000003,35.0,70.24793388399999,7.7602095257000006,311.0273327,11.2,18.143459915999998,79.06091370600001,46.0,73.530894789,149.61445506,632.9,0.0,15.240963855,0.0,2.4859163459999998,31.846481475,0.0,17.777777778,21.079108305,0.8384296705,0.1874136911,0.7496547643000001,7.960149931,45.482343658000005,0.37,322.5,0
6,423.0,14359.939103,48.57974889,27.450980391999998,761.7,25.22068,42.0,81.58995815899999,9.079445145,581.58400519,10.6,13.159609120999999,83.83318316399999,32.3,72.918309203,98.19431564,311.0,0.0,14.505765338,0.0,2.74187666,38.011215614,9.234168413899999,2.3809523809999997,22.245934959,0.3760162602,1.3160569106,0.050813008099999994,1.5091463415000002,53.429878048999996,0.69,306.8,0
7,2373.0,12078.616145,47.72121580100001,18.75,654.6,63.62876,32.0,92.368045649,14.469004950999999,756.06654427,11.8,13.734191258,84.809213736,31.2,73.039108585,65.81309082199999,226.3,18.334419817,15.388687124,6.6911529863,3.0776438043,44.542304124,19.843747846,37.264957265,21.609772745,0.5399161686,0.9643235297,0.1102584072,3.9106731888,51.946585927,0.67,72.1,0
8,654.0,11112.536614,61.86467923399999,28.571428571,611.0,41.52701,38.0,86.23853211,17.79728888,528.99973623,11.4,15.956678699999998,85.252848013,31.8,74.291076031,87.568741462,387.7,9.8842553696,15.226316844000001,11.550733886,2.6140025704,26.747861296999996,20.818126034000002,0.0,20.800237989,0.3064108285,1.3267886359999999,0.0446229362,2.5613565373,52.125539194,0.66,343.8,0
9,568.0,12349.707594,33.429527877,19.607843137,321.0,38.67425,36.0,94.904458599,8.5083343002,330.43879198,11.4,13.0,83.11446592899999,46.1,73.998833761,63.722366551,116.9,12.884273455999999,13.940332682000001,0.0,3.0096112116000002,32.057709232,23.823688350999998,0.0,19.168715427000002,0.6607252612,0.3380454825,0.0307314075,1.6210817455000002,50.460971111999996,0.54,124.8,0
10,829.0,10019.3128,46.293792819,16.049382716,354.0,20.42345,39.0,88.20598006600001,15.204120997999999,507.81072095,11.2,13.29723225,83.564828268,50.3,74.926750554,59.18000189399999,110.2,12.106445926,17.504683975,0.0,2.7849680225,37.872954779000004,14.368798399000001,15.208333332999999,23.760559870999998,0.5662129414,0.4869431296,0.1743935859,7.926981179099999,50.925191946000005,0.55,86.2,0
11,269.0,12479.822147,28.934266542,50.0,563.9,38.62495,40.0,78.632478632,19.312475859,128.41466262,10.1,11.061151079000002,82.146317829,44.0,74.053901547,0.0,231.5,0.0,14.113012767999999,0.0,2.5185726306,45.521581612,0.0,0.0,19.990654933,0.1869013317,0.17911377620000002,0.0,1.0435324352,52.729538198,0.47,210.2,0
12,438.0,11144.037370999999,25.270003484,29.72972973,643.6,53.97999,38.0,90.909090909,16.193995765,475.31243598,10.4,12.035583464,88.285296852,35.0,74.787459811,94.06452826600001,159.5,0.0,15.315508021,12.376613515999999,3.0048228436,21.364751394000002,9.9365712382,0.0,21.718227425,0.5267558528,0.43478260869999996,0.02090301,1.3628762542,52.642140468,0.58,182.0,0
13,275.0,10461.83432,63.781223084,40.0,463.8,37.40555,35.0,89.80891719700001,10.473554275,309.06721281,10.6,11.18359739,89.902340151,37.3,75.237156152,0.0,174.2,0.0,17.218458392,0.0,2.8197751660000003,19.749402011,23.456306527,13.076923077,20.248587570999998,0.5423728814,0.2410546139,0.0,3.0131826742000003,51.096045198,0.57,90.4,0
14,305.0,11087.984454000001,41.48410366,29.166666666999998,187.9,26.845640000000003,26.0,98.02955665,8.0536912752,103.33333333,11.0,12.93916024,81.36321195100001,55.5,74.766028857,72.785501128,120.3,0.0,16.840135657,0.0,3.2142313523,39.993161997,13.586500829,0.0,22.766397545,0.49376125979999996,0.2201908321,0.073396944,2.4821511977,50.483752586,0.47,88.3,0
15,797.0,8175.362392100001,53.723872828000005,35.849056604,584.1,53.97694,42.0,92.51700680299999,14.650884836,276.20804419,10.9,12.103225806,86.59872497100001,26.8,76.710348557,36.806805169,152.5,7.741485978200001,15.286789515,6.8924302789,3.1774338012,37.921112635,14.880878115,25.087719298000003,23.656783986999997,1.4101600878,1.6355545281000001,0.39684833070000003,7.5805736963,50.835115298000005,0.72,158.0,1
16,1044.0,10644.992124,55.732343647,22.368421053000002,526.6,64.22018,40.0,92.136752137,16.880733945,400.00735646,10.7,13.729925355999999,90.21473226399999,27.6,74.665950403,67.37519288899999,99.7,6.7287341415999995,12.121306087,7.6405384006,3.0290026332999997,28.034038885,17.978347888,0.0,20.762572587,0.6628684124,0.5898250612,0.074869435,2.6752127388,52.048866002,0.67,90.5,0
17,262.0,10822.452428,37.019957665999996,31.25,665.7,40.09945,35.0,80.373831776,7.217900393,387.40920097,10.3,13.359528487,89.44788441700001,33.5,75.25023311,0.0,310.4,0.0,15.334374555999998,0.0,2.7465509761,22.081366854000002,0.0,0.0,20.77054655,0.5131546795,0.21177812170000002,0.0325812495,2.1503624664,52.09741793600001,0.48,344.3,0
18,217.0,12691.204176000001,6.4217003207,29.411764706,483.5,0.0,39.0,82.716049383,10.228752092,254.8321954,11.0,14.625445897999999,83.979974969,40.6,73.819513253,136.63068725,146.7,0.0,15.532754537999999,0.0,2.7353111543,53.696453008,17.825599315,31.25,16.584227718,0.5972935138000001,0.1399906673,0.1679888007,2.5198320112,49.612692487,0.54,121.6,0
19,780.0,11418.122816,50.234343968999994,22.448979591999997,512.2,51.22398,42.0,94.902912621,12.671195945,331.12142449,10.5,12.845849802,87.524644775,28.5,73.994503819,79.377194321,155.5,0.0,15.291560344,8.529048207699999,2.9212935181,41.682563871999996,15.497341192999999,14.864864865,21.870437463000002,0.6921537879,0.46504082630000004,0.010814902900000001,1.7493105499000001,51.614124263,0.65,288.1,0
20,290.0,9944.644470000001,22.35006472,41.176470588,793.0,14.41857,37.0,89.08045977,10.092999784,331.90736097,10.7,9.953917050700001,81.72990469300001,41.4,74.65904211899999,0.0,223.5,0.0,15.606361829,0.0,2.7801761242,13.021890723,0.0,16.0,22.858796295999998,0.6293402778,1.1212384259000001,0.0434027778,2.3148148148,51.721643519,0.52,202.1,0
21,1501.0,10182.18218,41.65360794,30.4,233.2,55.58577,44.0,90.51987767600001,11.721346142,129.39228552,11.6,12.306949807,87.56887474,32.9,74.539745814,43.072698638999995,78.2,22.922129104,16.221000844000002,10.164693773,3.1175318126,83.563356972,22.794108931999997,13.411764706,22.47908727,0.6459576712,0.6723232904,0.0862874811,4.4330193428,50.570456125,0.61,211.3,0
22,859.0,10467.436009000001,46.387136573999996,29.545454545,747.6,18.28302,42.0,90.31620553399999,10.563523341,436.72141878,11.0,13.620643787999999,85.67801672600001,24.8,75.05295351,74.584302198,244.1,6.7838923261,12.489711934,9.670517757799999,3.0692891439,32.996286561999995,16.203509677,20.2,22.973690661,0.8007190129999999,1.4196421276,0.2124356565,6.6386142659,50.929405996999996,0.66,251.3,0
23,918.0,14717.166071000001,59.637151985,54.716981132,951.2,73.95129,40.0,86.193293886,11.985209740999998,924.56116843,11.1,20.99378882,86.376956615,26.6,71.18507133899999,48.937540245,422.2,0.0,13.707675944000002,8.6040386304,2.6149555403,50.777946583,11.878492865,24.888888889,23.808405116,0.2897415818,0.5820934482,0.044374836900000006,1.1119812059999998,53.837118246,0.51,314.5,0
24,1302.0,10747.783715000001,45.037899563,30.379746835,276.5,41.88950000000001,32.0,92.74292742899999,8.5175307539,312.33068808,11.3,11.084240225999999,85.663741862,31.5,74.458450235,61.771846403999994,88.3,27.582724799,22.811601150999998,11.059431525,2.7385722762,50.472304232,18.559200112,8.214285714299999,24.077887511,2.0298382013,0.5155144638,0.6401905162,14.842053652999999,50.370526021,0.63,155.3,0
25,1229.0,8762.552569299998,51.730703756000004,37.974683544,538.7,25.711029999999997,43.0,86.157253599,10.896580432999999,238.67666368,11.9,11.370716511,86.742897981,46.1,75.911969236,58.499421808,222.0,9.7814258874,11.002439755,14.783854789000001,3.1300061984,26.54084214,20.965537932,0.0,22.239183265,0.5190079011,0.7095143306999999,0.1160135308,3.0126882167,51.658993491000004,0.84,187.8,1
26,822.0,12227.375778,48.130170412,34.920634921,472.7,34.71573,34.0,87.79220779200001,14.420380805,446.24531575,10.2,11.821204285,91.55762980200001,29.0,72.907359326,78.113264233,222.1,29.484556346999998,18.948493485,16.28959276,2.8706780174,36.772846376,20.284158004000002,31.315789474000002,22.365843039,3.872319582,0.3047784913,0.0625884402,2.4681615326,49.308805921,0.57,566.6,0
27,2201.0,11905.222386,49.49439816100001,18.947368421,702.6,80.77466,29.0,90.272052762,15.765656172,603.96261974,11.5,11.222165992,85.48367579100001,28.6,73.034731692,72.92882147,187.3,25.339484114,15.963500622,7.7059170434,0.0,63.873395346,15.933302097999999,15.865384615,21.460278436,0.6087745485,0.8312114028,0.31024087570000003,4.0155705798,51.55852138,0.69,192.2,0
28,342.0,9720.775126,34.162751581,42.105263158,273.3,97.15812,36.0,91.803278689,7.8940976438999995,0.0,10.6,12.335766422999999,85.879923761,40.6,74.586536263,0.0,99.5,0.0,14.528281864,0.0,2.9652972010000003,49.270901908999996,24.683459907,13.125,21.128217611,0.46856934219999996,0.4381427615,0.0,1.8073388913,51.177508671999995,0.48,265.7,0
29,531.0,10155.227272,58.147236942,11.428571429000002,263.5,44.4515,32.0,92.10526315799999,9.5253214796,264.23443643,10.5,12.954253955,83.211964607,37.6,74.646282685,64.699792961,53.8,0.0,19.867693309,0.0,2.7103147408,56.924582267,14.245999037,17.428571429,24.535280426,1.546408188,0.3411663425,0.2487006983,17.750215222,49.54883142600001,0.48,150.9,0
30,569.0,11145.173201000001,20.205300485,38.461538462,420.1,30.27894,39.0,90.28776978399999,8.7051966239,413.57112113,10.6,10.18301267,83.679854663,40.5,73.794841437,72.565842831,151.9,17.643574588,18.147149714,11.127272727000001,3.0886579182,23.601026546,15.729168784,0.0,21.919890553000002,1.0260697726999999,0.34202325759999996,0.0722049099,4.0434749563,51.181880368,0.53,286.3,0
31,184.0,11618.619777,6.2244333886000005,24.390243901999998,936.4,48.01921,34.0,77.528089888,9.6038415366,669.34404284,10.5,19.323671498,82.21415608,42.2,74.796604716,0.0,378.7,0.0,14.687699851,0.0,2.4356344507,8.371516037100001,0.0,0.0,22.166889348,0.32794849989999997,0.2672172962,0.0,1.6640349812000002,52.787562249,0.41,168.0,0
32,312.0,12327.018415,29.898477157,25.0,1114.0,20.25385,36.0,91.28205128200001,6.0761544693,208.55807264,10.8,16.554621849,88.396793587,49.5,74.117018606,93.29697143700001,436.0,0.0,13.679745492999999,0.0,2.8711728206,37.402040862,13.772152239,0.0,23.047670785999998,0.2512562814,0.2852098329,0.013581420600000001,1.3581420617,52.410702158999996,0.44,156.0,0
33,332.0,9242.4857316,25.309212808,23.529411765,524.9,29.15962,44.0,97.90575916200001,13.996617484000001,197.37229718,10.9,10.688140556,87.196371086,37.1,76.232349375,0.0,212.0,0.0,15.305598355999999,0.0,2.6839160288,24.973506541,15.969315204,0.0,20.611308036,0.493927596,0.37189842520000005,0.0232436516,2.6730199314,51.769422976,0.59,208.9,0
34,1637.0,9647.190511499999,66.544555723,25.0,588.4,84.33481,42.0,90.917431193,11.979376305999999,487.78848416,10.7,13.451035184,88.400027456,25.8,75.866636949,89.483157624,366.5,13.093854192,14.437049452,9.7960815674,3.0881132644,48.11854602,15.206913735999999,42.566371681,23.032409618000003,0.5404786005,1.0599491988,0.09453600960000001,3.4386279865,51.981436565,0.73,208.3,0
35,1126.0,11088.146204,47.190335732,25.0,263.9,53.94055,42.0,90.11725293100001,9.054306575,316.98494808,11.0,10.804712961,86.298609712,37.1,73.807252187,59.011779659,74.3,10.270697059,16.490472461,9.371095376900001,2.9595973260000004,44.798783128000004,24.78140104,13.773584905999998,20.886809958,1.6816143497999998,0.5856656873,0.1101747333,2.9534560074000002,50.923921447,0.57,129.9,0
36,11214.0,10969.508203,78.627749952,16.152019002,914.9,107.5551,43.0,88.73381114,14.441813297000001,872.75002018,13.4,16.762486868,83.718694322,33.1,74.671162642,84.25407062800001,621.1,30.030060394,12.695996769,7.8804347826,2.9829188727999996,63.977860855,12.969260790999998,10.996978852,22.762172001,0.2869710299,1.7709692097999998,0.0570301835,3.9808888215,52.739117246000006,0.78,155.4,2
